City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Vaini,TO,80.6,few clouds,-21.2,-175.2,Keleti Beach Resort
1,Mathbaria,BD,82.6,clear sky,22.2876,89.9593,Shikdar Hotel
10,Rikitea,PF,78.12,few clouds,-23.1203,-134.9692,Pension Maro'i
15,Geraldton,AU,77.0,overcast clouds,-28.7667,114.6,Broadwater Mariner Resort
17,Kapaa,US,75.2,overcast clouds,22.0752,-159.319,Sheraton Kauai Resort at Coconut Beach
19,Hilo,US,75.2,heavy intensity rain,19.7297,-155.09,Hilo Hawaiian Hotel
22,Yeppoon,AU,75.2,light rain,-23.1333,150.7333,Villa Mar Colina
29,Butaritari,KI,82.51,overcast clouds,3.0707,172.7902,Isles Sunset Lodge
30,Tarakan,ID,81.5,overcast clouds,3.3,117.6333,RedDoorz Syariah near Taman Berlabuh Tarakan
31,Puerto Ayora,EC,77.0,scattered clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
32,Caravelas,BR,76.39,clear sky,-17.7125,-39.2481,Pousada dos Navegantes
33,Carutapera,BR,75.56,overcast clouds,-1.195,-46.02,Lidera
35,Harur,IN,80.1,few clouds,12.0667,78.5,sangil roadways
36,Maceio,BR,75.2,broken clouds,-9.6658,-35.7353,Poutur Pousada
40,Carnarvon,AU,82.4,overcast clouds,-24.8667,113.6333,Hospitality Carnarvon
45,Lorengau,PG,81.43,overcast clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
47,San Cristobal,VE,77.0,broken clouds,7.7669,-72.225,Posada Villaven C.A.
52,Arraial Do Cabo,BR,75.54,broken clouds,-22.9661,-42.0278,Pousada Porto Praia
59,Mogadishu,SO,80.91,broken clouds,2.0371,45.3438,Olympic Hotel
60,Faanui,PF,82.33,few clouds,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
65,Karratha,AU,92.35,scattered clouds,-20.7377,116.8463,ibis Styles Karratha
66,Gambela,ET,81.05,overcast clouds,8.25,34.5833,Solomon Debebe Hotel
69,Saint-Pierre,RE,77.0,clear sky,-21.3393,55.4781,Lindsey Hôtel
71,Atuona,PF,80.13,light rain,-9.8,-139.0333,Villa Enata
79,San Estanislao,CO,80.6,scattered clouds,10.3983,-75.1511,Hostal Bugambilia
80,Christchurch,NZ,84.99,clear sky,-43.5333,172.6333,The George
85,Kokoda,PG,88.65,overcast clouds,-8.8785,147.7407,Daito Guest House
88,Hithadhoo,MV,83.08,scattered clouds,-0.6,73.0833,Scoop Guest House
99,Atar,MR,78.85,broken clouds,20.5169,-13.0499,Oumou Elghoura
100,Bambous Virieux,MU,80.01,scattered clouds,-20.3428,57.7575,Casa Tia Villa
101,Hervey Bay,AU,77.0,overcast clouds,-25.2986,152.8535,Shelly Bay Resort
102,Ayorou,NE,78.76,clear sky,14.7308,0.9174,Hotel Amenokal
105,Massakory,TD,81.16,clear sky,12.995999999999999,15.7293,
110,Georgetown,MY,87.01,few clouds,5.4112,100.3354,Cititel Penang
116,Mackay,AU,77.0,light rain,-21.15,149.2,International Lodge Motel
117,Manggar,ID,85.24,overcast clouds,-2.8833,108.2667,Guest Hotel
118,Labuhan,ID,82.22,overcast clouds,-6.8844,112.2051,PT PPI Lamongan Tambak C
122,Camargo,MX,77.97,clear sky,27.6667,-105.1667,Hotel Santa Fe
124,Port Maria,JM,77.0,scattered clouds,18.3685,-76.8895,Galina Breeze Hotel
133,Mahebourg,MU,80.01,scattered clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
137,Busselton,AU,75.0,clear sky,-33.65,115.3333,Observatory Guest House
143,Bengkulu,ID,81.68,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
152,Denpasar,ID,86.0,few clouds,-8.65,115.2167,ASTON Denpasar Hotel & Convention Center
159,Kudahuvadhoo,MV,83.71,scattered clouds,2.6708,72.8944,Niyama Private Islands Maldives
160,Avarua,CK,80.6,light rain,-21.2078,-159.775,Paradise Inn
167,Wanlaweyn,SO,79.41,broken clouds,2.6185,44.8938,GAASHAAN HOME
185,Bara,NG,76.57,few clouds,10.3744,10.7288,
190,Yulara,AU,80.6,clear sky,-25.2406,130.9889,Desert Gardens Hotel - Ayers Rock Resort
196,Tura,IN,82.22,clear sky,25.5198,90.2201,Hotel RIKMAN Continental
197,The Valley,AI,78.8,few clouds,18.217,-63.0578,CeBlue Villas & Beach Resort
201,Wanning,CN,80.46,scattered clouds,18.8003,110.3967,Paradise Hotel
202,Cururupu,BR,75.25,overcast clouds,-1.8283,-44.8683,Pousada Través'cia
203,Jizan,SA,80.6,clear sky,17.3333,42.6667,شهدان. ابوالحجر
204,Touros,BR,77.0,few clouds,-5.1989,-35.4608,INN NEW HORIZON
207,Narasannapeta,IN,81.7,clear sky,18.4167,84.05,G.lingaraju home
213,Bafata,GW,75.24,overcast clouds,12.1667,-14.75,
214,Tessalit,ML,78.37,broken clouds,20.1986,1.0114,
216,Boyolangu,ID,79.57,overcast clouds,-8.1181,111.8935,Yos ega cv
217,Alice Springs,AU,84.0,clear sky,-23.7,133.8833,Desert Palms Alice Springs
219,Bhadrachalam,IN,82.85,scattered clouds,17.6667,80.8833,Hotel Srinidhi Residency
220,Lufilufi,WS,87.8,moderate rain,-13.8745,-171.5986,Leuaina Beach Resort and Spa
221,Sambava,MG,75.54,overcast clouds,-14.2667,50.1667,Melrose
225,Kavaratti,IN,82.27,overcast clouds,10.5669,72.642,Hotels in Lakshadweep Islands
228,Nabire,ID,87.1,few clouds,-3.3667,135.4833,Hotel Nusantara Nabire
234,Panama City,PA,79.0,broken clouds,8.9936,-79.5197,Hotel Riande Granada Urban
238,Bonthe,SL,78.08,scattered clouds,7.5264,-12.505,Bonthe Holiday Village
240,Wukari,NG,80.89,scattered clouds,7.85,9.7833,Elimtop
246,Sokolo,ML,85.05,clear sky,14.7328,-6.1219,
249,Vao,NC,76.3,scattered clouds,-22.6667,167.4833,Hotel Kou-Bugny
253,Lar,IN,80.4,clear sky,26.2039,83.9717,Ovaiskarni ward Lar
261,Tulagi,SB,83.79,scattered clouds,-9.0996,160.1476,Raiders Hotel & Dive
267,Cabedelo,BR,78.8,few clouds,-6.9811,-34.8339,Hotel Pigalle
271,Ternate,ID,84.33,scattered clouds,0.8,127.4,Grand Dafam Bela Ternate
272,Kendari,ID,84.99,overcast clouds,-3.945,122.4989,Hotel Wixel
273,Chirala,IN,83.48,overcast clouds,15.8167,80.35,Bala Residency
279,Port Augusta,AU,87.01,clear sky,-32.5,137.7667,Majestic Oasis Apartments
280,Gewane,ET,76.68,clear sky,10.1664,40.6453,
283,Kanniyakumari,IN,80.2,broken clouds,8.0833,77.5667,Sparsa
285,Noumea,NC,86.0,clear sky,-22.2763,166.4572,Hôtel Le Lagon
286,Sydney,AU,80.01,few clouds,-33.8679,151.2073,The Grace Sydney
287,Saint-Philippe,RE,78.8,clear sky,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
288,Nioro,GM,76.95,overcast clouds,13.35,-15.75,
293,Souillac,MU,80.01,clear sky,-20.5167,57.5167,Shanti Maurice Resort & Spa
297,Namatanai,PG,84.18,light rain,-3.6667,152.4333,Namatanai Hotel
300,Kavieng,PG,83.05,overcast clouds,-2.5744,150.7967,Nusa Island Retreat
302,Japura,ID,83.48,overcast clouds,-0.3167,102.35,Rumah mbah Jamah
307,Port Keats,AU,87.64,broken clouds,-14.25,129.55,TDC Village (Hundred Man Camp)
309,Bonfim,BR,79.72,light rain,3.0833,-59.95,
310,Vieques,PR,80.6,scattered clouds,18.425,-65.8329,"The St. Regis Bahia Beach Resort, Puerto Rico"
314,Grand Gaube,MU,80.01,clear sky,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
317,Bougouni,ML,82.8,overcast clouds,11.417,-7.479,Non Stop
320,Biak,ID,85.91,overcast clouds,-0.9131,122.8766,Penginapan Kim
322,Nizwa,OM,75.58,broken clouds,22.9333,57.5333,Orient Apartments
325,Natitingou,BJ,80.22,clear sky,10.3042,1.3796,Auberge Centrale
333,Fomboni,KM,82.4,moderate rain,-12.28,43.7425,Relais Singani
335,Vila Velha,BR,77.0,broken clouds,-20.3297,-40.2925,Quality Suites Vila Velha
337,Tabou,CI,78.57,clear sky,4.423,-7.3528,hotêl doufoulougou
339,Mount Isa,AU,86.0,scattered clouds,-20.7333,139.5,ibis Styles Mt Isa Verona
340,Batticaloa,LK,79.83,broken clouds,7.7102,81.6924,Grand Star Guest House
342,Tautira,PF,86.0,few clouds,-17.7333,-149.15,Pension Oaoa
343,Axim,GH,78.93,overcast clouds,4.8699,-2.2405,AXIM BEACH RESORT AND SPA
344,Bassar,TG,81.43,scattered clouds,9.25,0.7833,RGG
345,Sinnamary,GF,76.86,overcast clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
347,Cairns,AU,86.0,broken clouds,-16.9167,145.7667,Mantra Trilogy Cairns
349,Catumbela,AO,78.94,broken clouds,-12.4314,13.5472,Hotel Do Kamgamba
350,Salalah,OM,77.0,clear sky,17.0151,54.0924,HAMDAN PLAZA HOTEL SALALAH
351,Pangai,TO,80.6,light rain,-19.8,-174.35,Ha'apai Beach Resort
352,Kidal,ML,78.49,broken clouds,18.4411,1.4078,
359,Gopalpur,IN,80.47,clear sky,19.2667,84.9167,Swosti Palm Resort
360,Adrar,MR,75.34,clear sky,20.5022,-10.0711,
361,Veraval,IN,78.4,clear sky,20.9,70.3667,Lords Inn Somnath
377,Tual,ID,83.8,scattered clouds,-5.6667,132.75,Grand Vilia Hotel
382,Jibuti,DJ,77.0,haze,11.5,42.5,Orchid Main Camp Goubet
383,Bandarbeyla,SO,76.37,overcast clouds,9.4942,50.8122,JABIR HOTEL
387,Salinopolis,BR,77.74,broken clouds,-0.6136,-47.3561,Salinas Park Resort Maçarico AP101
392,Lima,PE,75.2,clear sky,-12.0432,-77.0282,Gran Hotel Bolivar Lima
402,Kontagora,NG,78.53,few clouds,10.3999,5.4695,Queens Guest Inn
406,Sur,OM,83.01,clear sky,22.5667,59.5289,Sur Plaza Hotel
407,Bambanglipuro,ID,78.53,overcast clouds,-7.95,110.2833,Puri Brata
419,Luwuk,ID,89.11,overcast clouds,-0.9516,122.7875,Hotel Santika Luwuk
422,Quatre Cocos,MU,80.01,few clouds,-20.2078,57.7625,Emeraude Beach Attitude Hotel
424,Mangrol,IN,78.85,clear sky,21.1167,70.1167,Hotel The Royal Honours
428,Jiwani,PK,79.93,clear sky,25.05,61.7417,Al Mumtaz Transport Jiwani
432,Sibolga,ID,81.3,overcast clouds,1.7427,98.7792,Hotel Syariah CN Darussalam
434,Bontang,ID,81.81,overcast clouds,0.1333,117.5,KOPKAR Hotel Bintang Sintuk
443,Acapulco,MX,80.6,clear sky,16.8634,-99.8901,HS Hotsson Smart Acapulco
445,Jacqueville,CI,84.2,few clouds,5.2052,-4.4146,Hotel Le Martin Pecheur
448,Palu,ID,89.17,broken clouds,-0.8917,119.8707,Hotel Santika Palu
451,Ixtapa,MX,75.99,clear sky,20.7,-105.2,Hotel Plaza Providencia
453,Crateus,BR,75.52,overcast clouds,-5.1783,-40.6775,Orient Plaza Hotel
454,Itaituba,BR,75.81,overcast clouds,-4.2761,-55.9836,Hotel Campos
460,Basmat,IN,85.01,clear sky,19.3167,77.1667,Sai Hotal
462,Chapada Dos Guimaraes,BR,75.2,broken clouds,-15.4606,-55.7497,Pousada Morro Dos Ventos
464,Semporna,MY,78.8,few clouds,4.4818,118.6112,"Han Palace Hotel, Semporna, Sabah."
469,Pasighat,IN,79.3,scattered clouds,28.0667,95.3333,Siang Guest House
471,Sao Jose Da Coroa Grande,BR,78.49,few clouds,-8.8978,-35.1478,Crôa Mares Hotel
472,Banda Aceh,ID,82.44,overcast clouds,5.5577,95.3222,Sulthan Hotel International
475,Dhidhdhoo,MV,82.65,broken clouds,6.8833,73.1,Dhidhoo beach
478,Broken Hill,AU,80.6,clear sky,-31.95,141.4333,Royal Exchange Hotel
480,Hoi An,VN,84.2,scattered clouds,15.8794,108.335,Belle Maison Hadana Hoi An managed by H&K Hospitality
482,La Asuncion,VE,80.6,few clouds,11.0333,-63.8628,Colinas de Matasiete
484,Mitsamiouli,KM,82.09,overcast clouds,-11.3847,43.2844,Foyer ADM
486,Isangel,VU,79.92,scattered clouds,-19.55,169.2667,Volcano Sea View Tree House
488,Meiktila,MM,78.24,overcast clouds,20.8667,95.8667,The Floral Breeze Wunzin Hotel
492,San Juan,AR,77.85,overcast clouds,-31.5375,-68.5364,Hotel Provincial
495,Riachao Das Neves,BR,76.12,scattered clouds,-11.7461,-44.91,Casa Costa
496,Gizo,SB,84.56,light rain,-8.103,156.8419,Imagination Island
498,Jacareacanga,BR,78.58,overcast clouds,-6.2222,-57.7528,Casa do Ian😎
500,Otane,NZ,80.01,overcast clouds,-39.8833,176.6333,Ludlow Farmstay
501,Dingle,PH,86.29,overcast clouds,10.9995,122.6711,SEGAYA PROPERTY
507,Buala,SB,85.17,light rain,-8.145,159.5921,Maringe Lagoon Lodge
508,Campoverde,PE,78.8,scattered clouds,-8.4753,-74.8058,Hospedaje Coral's
512,Port Blair,IN,82.67,clear sky,11.6667,92.75,Welcomhotel Bay Island Port Blair
519,Alofi,NU,77.0,light rain,-19.0595,-169.9187,Taloa Heights
522,Iralaya,HN,75.74,scattered clouds,15.0,-83.2333,Iglesia morava renovada
535,Cabo San Lucas,MX,84.2,clear sky,22.8909,-109.9124,Hotel Tesoro Los Cabos
545,Paredon,MX,80.58,scattered clouds,16.0333,-93.8667,Hotel Principal Paredon
549,Piacabucu,BR,77.76,clear sky,-10.4056,-36.4344,Piaçabuçu News
550,Belmonte,BR,77.0,clear sky,-15.8631,-38.8828,Pousada Monte Carmelo O Pão
551,Manokwari,ID,82.58,overcast clouds,-0.8667,134.0833,Swiss Belhotel Manokwari
558,Taoudenni,ML,81.07,overcast clouds,22.6783,-3.9836,
563,Marang,MY,82.85,broken clouds,5.2056,103.2059,DBarakah Homestay
568,Labuan,MY,80.6,scattered clouds,5.2767,115.2417,Tiara Labuan Hotel
571,Teluknaga,ID,82.4,light rain,-6.0989,106.6381,Bale Ocasa hotel
572,Alyangula,AU,86.23,few clouds,-13.8483,136.4192,Groote Eylandt Lodge
574,Tiarei,PF,86.0,few clouds,-17.5333,-149.3333,Le Rocher de Tahiti
576,Saint George,US,80.01,clear sky,37.1041,-113.5841,Best Western Plus Abbey Inn
577,Guasdualito,VE,80.6,overcast clouds,7.2424,-70.7324,Hotel Cuibas
583,Karaton,ID,82.99,light rain,-6.3424,106.1045,Parkir Mobil Wisata CAS Water Park
584,Lagos,NG,84.2,scattered clouds,6.5833,3.75,
587,Anloga,GH,82.4,scattered clouds,5.7947,0.8973,Pin Drop Hotel
588,Toamasina,MG,75.2,few clouds,-18.1667,49.3833,Hotel H1
590,Namibe,AO,79.48,scattered clouds,-15.1961,12.1522,Hotel Chik Chik Namibe
591,Borba,BR,77.34,overcast clouds,-4.3878,-59.5939,Hotel da Amazônia
592,Areia Branca,BR,79.21,broken clouds,-4.9561,-37.1369,Areia Branca Apart Hotel
594,San Pedro,PH,86.0,broken clouds,14.35,121.0167,OYO 412 Viewfort Venue
600,Tagusao,PH,84.52,broken clouds,9.1924,117.8141,Toledo
602,Pak Phanang,TH,84.2,few clouds,8.3511,100.20200000000001,Green Park Inn Hotel
605,Vanimo,PG,87.89,broken clouds,-2.6741,141.3028,Vahmoneh Lodge Vanimo
609,Pundri,IN,79.65,scattered clouds,29.75,76.55,Sahil Gollen Home
617,Douentza,ML,78.55,clear sky,14.9951,-2.9517,Ogomono Doumbo
